Nofence ID,ID,Type dyr,Tid,Aktivitet ,Kommentar ,,,,,
37684,1512,Rosa ku,2020-07-10 12:42:19',Beiter slutt,"12:47:28 hvit egen kalv diing slutt hvit ku, 12:48:08 hvit egen kalv diing start hvit ku, 12:48:43 diing slutt",,,,,
37684,1512,Rosa ku,2020-07-10 12:49:57',Reiser seg ,,,,,,
37684,1512,Rosa ku,2020-07-10 12:54:05',Beiter start,,,,,,
37684,1512,Rosa ku,2020-07-10 12:54:12',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-10 12:56:19',Beiter start,Blader på tre,,,,,
37684,1512,Rosa ku,2020-07-10 12:56:33',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-10 12:57:53',Beiter start,,,,,,
37684,1512,Rosa ku,2020-07-10 12:58:08',Beiter slutt ,,,,,,
37684,1512,Rosa ku,2020-07-10 13:08:08',Beiter start,,,,,,
37684,1512,Rosa ku,2020-07-10 13:08:41',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-10 13:11:52',Legger seg ,,,,,,
37684,1512,Rosa ku,2020-07-10 13:24:18',Reiser seg ,,,,,,
37684,1512,Rosa ku,2020-07-10 13:40:39',VIDEO SLUTT,,,,,,
37809,1513,Hvit ku,2020-07-10 12:34:20',Dier start,Hvit egen kalv,,,,,
37809,1513,Hvit ku,2020-07-10 12:48:43',Dier slutt,Hvit egen kalv,,,,,
37684,1512,Rosa ku,Tid ,Aktivitet,Kommentar (ev.kalv som dier),,,,,
37684,1512,Rosa ku,2020-07-17 09:32:53',VIDEO START,,,,,,
37684,1512,Rosa ku,2020-07-17 09:36:52',Beiter start,,ser ikke nøyaktig når beiting starter fordi det er noe tid hvor kua ikke filmes.. ,,,,
37684,1512,Rosa ku,2020-07-17 09:44:11',Beiter slutt,,,,,,
37684,1512,Rosa ku,2020-07-17 09:44:44',Beiter start,,ser ikke helt om hun beiter fordi hun er så langt unna og graset er så høyt,,,,
37684,1512,Rosa ku,2020-07-17 09:45:20',Beiter slutt,,,,,,
